LOAN_ID|ORIG_CHN|Seller.Name|ORIG_RT|ORIG_AMT|ORIG_TRM|ORIG_DTE|FRST_DTE|OLTV|OCLTV|NUM_BO|DTI|CSCORE_B|FTHB_FLG|PURPOSE|PROP_TYP|NUM_UNIT|OCC_STAT|STATE|ZIP_3|MI_PCT|Product.Type|CSCORE_C|MI_TYPE|RELOCATION_FLG
623081284918|C|CITIMORTGAGE, INC.|7.875|75000|360|11/1999|01/2000|47.0||2.0|23.0|756.0|N|P|SF|1|P|AZ|853||FRM|754.0||N
352577458976|R|WELLS FARGO BANK, N.A.|7.875|93000|360|01/2000|03/2000|39.0||1.0|32.0|748.0|N|C|SF|1|P|GA|300||FRM|||N
263966327573|B|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.25|172000|360|01/2000|03/2000|95.0||2.0|36.0|719.0|Y|P|SF|1|P|IL|600|30.0|FRM||1.0|N
752355216727|C|OTHER|7.875|186000|360|12/1999|03/2000|80.0||1.0|34.0|800.0|N|P|SF|1|I|CA|921||FRM|||N
753033629124|R|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.625|62000|180|12/1999|03/2000|80.0||2.0|14.0|736.0|N|P|SF|1|I|FL|342||FRM|||N
148676290048|C|BANK OF AMERICA, N.A.|7.75|229000|360|11/1999|01/2000|32.0||1.0|58.0|718.0|N|C|SF|1|P|CO|809||FRM|||N
860633393204|C|OTHER|7.875|34000|360|12/1999|02/2000|68.0||1.0|19.0|670.0|N|C|SF|1|P|WI|546||FRM|||N
793229350358|C|GMAC MORTGAGE, LLC|8.0|112000|360|01/2000|03/2000|70.0||1.0|34.0|566.0|N|C|SF|1|P|NJ|80||FRM|||N
593407374622|B|JPMORGAN CHASE BANK, NA|7.5|178000|360|12/1999|02/2000|78.0||2.0|32.0||N|R|SF|1|P|LA|707||FRM|699.0||N
933443036258|R|CITIMORTGAGE, INC.|8.125|50000|360|02/2000|04/2000|28.0||2.0|24.0|770.0|N|P|SF|1|P|WA|982||FRM|787.0||N
110951447226|R|USAA FEDERAL SAVINGS BANK|7.875|175000|360|12/1999|02/2000|95.0||2.0|42.0|709.0|N|P|SF|1|P|TX|770|30.0|FRM|674.0|1.0|N
941308107557|R|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.125|200000|360|01/2000|03/2000|75.0||2.0|43.0|601.0|N|C|SF|1|P|NY|109||FRM|||N
748358409348|R|OTHER|8.375|142000|360|01/2000|03/2000|80.0||1.0|34.0|710.0|Y|P|PU|1|P|IL|605||FRM|||N
242515240720|R|OTHER|7.75|228000|360|12/1999|02/2000|80.0||1.0|20.0||N|P|SF|1|P|AZ|850||FRM|||N
914114148777|B|JPMORGAN CHASE BANK, NA|8.375|160000|360|01/2000|03/2000|90.0||3.0|26.0|755.0|N|P|SF|1|P|CA|906|25.0|FRM||1.0|N
745291372684|C|CITIMORTGAGE, INC.|7.875|60000|360|11/1999|01/2000|80.0||2.0|12.0|746.0|N|P|SF|1|P|OR|977||FRM|755.0||N
759928073784|R|OTHER|8.0|153000|360|02/2000|04/2000|57.0||2.0|26.0|751.0|N|P|SF|1|P|MI|488||FRM|757.0||N
571530114128|R|OTHER|7.75|61000|180|01/2000|03/2000|60.0||2.0|27.0|787.0|N|R|SF|1|P|IN|479||FRM|784.0||N
381581401507|B|JPMORGAN CHASE BANK, NA|9.5|253000|360|02/2000|04/2000|64.0||1.0|61.0|776.0|N|C|CO|1|P|CA|920||FRM|||N
263251450805|C|OTHER|8.875|127000|360|01/2000|03/2000|75.0||1.0|9.0|696.0|N|P|SF|1|I|OR|973||FRM|||N
149969229366|C|JPMORGAN CHASE BANK, NA|7.75|140000|360|12/1999|02/2000|80.0||2.0|12.0|749.0|N|P|SF|1|P|TX|786||FRM|||N
825603661230|B|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.625|41000|360|12/1999|02/2000|90.0||1.0|26.0|628.0|N|P|CP|1|P|NY|104|25.0|FRM||1.0|N
277244774887|B|JPMORGAN CHASE BANK, NA|8.5|68000|360|02/2000|04/2000|80.0|95.0|2.0|18.0|737.0|N|P|PU|1|P|FL|347||FRM|733.0||N
886009642033|R|RBC MORTGAGE COMPANY|7.5|150000|360|02/2000|04/2000|66.0||2.0|40.0|730.0|N|P|SF|1|S|CA|961||FRM|760.0||N
587446554665|B|FLAGSTAR BANK, FSB|8.0|130000|360|12/1999|02/2000|89.0||3.0|20.0|707.0|N|P|SF|1|P|MI|481|17.0|FRM|763.0|1.0|N
668857700335|R|BANK OF AMERICA, N.A.|7.625|90000|180|01/2000|03/2000|75.0||2.0|40.0|710.0|N|C|SF|1|P|CO|810||FRM|688.0||N
571481169991|B|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|8.25|118000|360|01/2000|03/2000|80.0||2.0|41.0|700.0|N|R|SF|1|P|OH|441||FRM|727.0||N
479576428186|R|REGIONS BANK|8.25|72000|360|01/2000|04/2000|80.0||2.0|39.0|736.0|N|C|SF|1|P|AL|366||FRM|688.0||N
184957823597|B|JPMORGAN CHASE BANK, NA|8.5|260000|360|01/2000|03/2000|95.0||1.0|35.0|610.0|Y|P|SF|2|P|NY|104|30.0|FRM||1.0|N
694886852924|R|BANK OF AMERICA, N.A.|8.375|122000|360|01/2000|03/2000|77.0||2.0|52.0|636.0|N|R|SF|1|P|CA|921||FRM|639.0||N
373550017346|C|AMTRUST BANK|7.75|144000|360|11/1999|01/2000|72.0||2.0|13.0|733.0|N|P|SF|1|P|NC|286||FRM|715.0||N
693528644744|B|BANK OF AMERICA, N.A.|8.25|205000|360|02/2000|04/2000|71.0||2.0|32.0|765.0|N|P|SF|1|P|MO|640||FRM|772.0||N
875429894963|R|OTHER|8.0|108000|360|12/1999|02/2000|80.0||2.0||668.0|N|P|PU|1|S|NV|890||FRM|761.0||N
691583536642|C|AMTRUST BANK|8.125|186000|360|11/1999|01/2000|80.0||2.0|21.0|746.0|N|P|SF|1|P|CA|920||FRM|744.0||N
449110433217|B|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.25|83000|360|02/2000|04/2000|80.0||2.0|42.0|634.0|N|R|SF|1|P|AZ|850||FRM|||N
939039147012|R|GMAC MORTGAGE, LLC|7.875|103000|360|12/1999|02/2000|84.0||1.0||663.0|N|R|SF|1|P|CA|936|12.0|FRM||1.0|N
